id,nombre,departamento,latitud,longitud,poblacion2022,superficieKm2,densidad,queryUsada,slug,displayName
loc-70,Gastonilla,Chicligasta,-27.339416,-65.530508,571,2.368000,241.132000,"Gastonilla, Chicligasta, Tucuman, Argentina",gastonilla,"Gastonilla, Municipio de Arcadia, Departamento Chicligasta, Tucumán, T4174, Argentina"
loc-71,Gobernador Piedrabuena (Piedrabuena),Burruyacu,-26.740424,-64.649631,933,1.190000,784.034000,"Gobernador Piedrabuena (Piedrabuena), Burruyacu, Tucuman, Argentina",gobernador-piedrabuena,"Gobernador Piedrabuena, Ruta Provincial 345, Gobernador Piedrabuea, Municipio de Gobernador Piedrabuena, Departamento Burruyacú, Tucumán, T4119, Argentina"
loc-72,Graneros,Graneros,-27.649401,-65.439508,4065,1.565000,2597.444000,"Graneros, Graneros, Tucuman, Argentina",graneros,"Municipio de Graneros, Departamento Graneros, Tucumán, T4159, Argentina"
loc-73,Huasa Pampa Norte,La Cocha,-27.730956,-65.595360,588,4.666000,126.018000,"Huasa Pampa Norte, La Cocha, Tucuman, Argentina",huasa-pampa-norte,"Huasa Pampa Norte, Municipio de San José de La Cocha, Departamento La Cocha, Tucumán, 4163, Argentina"
loc-74,Huasa Pampa Sur,La Cocha,-27.881070,-65.583383,237,2.266000,104.590000,"Huasa Pampa Sur, La Cocha, Tucuman, Argentina",huasa-pampa-sur,"Huasa Pampa Sur, Municipio de Huasa Pampa, Departamento La Cocha, Tucumán, Argentina"
loc-75,Iltico,Chicligasta,-27.335385,-65.651164,522,2.027000,257.523000,"Iltico, Chicligasta, Tucuman, Argentina",iltico,"Iltico, Municipio de Concepción, Departamento Chicligasta, Tucumán, T4174, Argentina"
loc-76,Ingenio Fronterita,Famailla,-27.031307,-65.460305,75,6.003000,12.494000,"Ingenio Fronterita, Famailla, Tucuman, Argentina",ingenio-fronterita,"Ingenio La Fronterita, Municipio de Famaillá, Departamento Famaillá, Tucumán, T4132, Argentina"
loc-77,Juan Bautista Alberdi,Juan Bautista Alberdi,-27.591322,-65.622423,27345,20.290000,1347.708000,"Juan Bautista Alberdi, Juan Bautista Alberdi, Tucuman, Argentina",juan-bautista-alberdi,"Juan Bautista Alberdi, Municipio de Juan Bautista Alberdi, Departamento Juan Bautista Alberdi, Tucumán, Argentina"
loc-78,La Angostura,Burruyacu,-26.944221,-65.672070,302,6.124000,49.314000,"La Angostura, Tucuman, Argentina",la-angostura,"La Angostura, Municipio de El Mollar, Departamento Tafí del Valle, Tucumán, T4137, Argentina"
loc-79,La Canada,Burruyacu,-26.657789,-64.934869,448,5.520000,81.159000,"La Canada, Burruyacu, Tucuman, Argentina",la-canada,"La Cañada de La Cruz, Municipio de La Ramada y La Cruz, Departamento Burruyacú, Tucumán, T4119, Argentina"
loc-80,La Canada,Graneros,-27.566868,-65.513143,525,2.586000,203.016000,"La Canada, Graneros, Tucuman, Argentina",la-canada,"La Cañada, Municipio de Graneros, Departamento Graneros, Tucumán, T4159, Argentina"
loc-81,La Cocha,La Cocha,-27.773420,-65.585609,8562,3.634000,2356.081000,"La Cocha, La Cocha, Tucuman, Argentina",la-cocha,"La Cocha, Ruta Nacional 38, Municipio de La Cocha, Departamento La Cocha, Tucumán, T4162, Argentina"
loc-82,La Costa,Tafi del Valle,-26.856346,-65.673115,260,1.218000,213.465000,"La Costa, Tafi del Valle, Tucuman, Argentina",la-costa,"La Costa I, Tafí del Valle, Municipio de Tafí del Valle, Departamento Tafí del Valle, Tucumán, T4137, Argentina"
loc-83,La Cruz,Burruyacu,-26.632277,-64.881772,480,3.486000,137.694000,"La Cruz, Burruyacu, Tucuman, Argentina",la-cruz,"La Cruz, Municipio de La Ramada y La Cruz, Departamento Burruyacú, Tucumán, T4119, Argentina"
